"","Estimate","Std. Error","z value","Pr(>|z|)"
"AATSC3i",-1366154776144910,13405343.1181498,-101911212.872667,0
"AATSC4i",-657697888297638,12432862.5018275,-52899956.7236396,0
"AATSC5i",-283232148644706,10161718.9206097,-27872464.3790592,0
"AATSC6i",413734704170761,8173758.76593657,50617435.1382824,0
"AATSC7i",-87876903786403.3,7060607.97058674,-12446081.7188099,0
"AATSC8i",7698214193079.64,4912083.21384853,1567199.46668986,0
"AATSC1s",-594701091054874,23521965.4309167,-25282797.5962083,0
"AATSC2s",393126887083802,20446539.0161984,19227062.6716998,0
"AATSC3s",-82596029098564.1,15494479.9884445,-5330674.48279404,0
"AATSC4s",-562872055512050,13253415.3411842,-42469962.724473,0
"AATSC5s",-266400715276608,12288129.1587005,-21679517.8367722,0
"AATSC6s",122422509479879,10866828.7996809,11265707.0187278,0
"AATSC7s",111139385586390,9825702.72174088,11311087.7393509,0
"AATSC8s",609297763107380,10088095.2664479,60397701.1531453,0
"MATS1c",516915437467011,24196775.5502417,21362988.4855401,0
"MATS2c",469485166554557,25953383.0676969,18089555.6209358,0
"MATS3c",761985083082733,21370047.1868678,35656686.9703023,0
"MATS4c",1465482026672727,19179834.6865749,76407437.8440033,0
"MATS5c",597013357084440,13544581.5486938,44077652.3762015,0
"MATS6c",402462189184978,9354434.48379148,43023679.2916053,0
"MATS7c",-74451392392919.5,9061869.45967977,-8215897.69353734,0
"MATS8c",-205742636566307,6864194.60814077,-29973310.5355581,0
"MATS1m",147072674367669,13034191.5717818,11283605.3972133,0
"MATS2m",-182519150071480,12953162.6409899,-14090701.6402237,0
"MATS3m",-671616742998844,11277086.9158246,-59555871.8321483,0
"MATS4m",-204198249735747,11875267.5131005,-17195254.7183026,0
"MATS5m",-1216004912589068,11697956.8713835,-103950196.257242,0
"MATS6m",-230454893213526,11367608.4923949,-20272944.2492416,0
"MATS7m",-33865314160208.5,11450954.0233707,-2957422.94407012,0
"MATS8m",164335074031162,10102153.4596561,16267330.9891252,0
"MATS1e",621536783243232,11536236.969577,53876908.4652412,0
"MATS2e",-249657556437984,14847417.0412069,-16814881.3861087,0
"MATS3e",-53883087887644.9,9765816.22257751,-5517520.16007357,0
"MATS4e",-307104933797679,10789543.4552308,-28463200.0484502,0
"MATS5e",1179551122708848,11406725.2791835,103408392.315843,0
"MATS8e",203858094054478,10715368.7370385,19024832.3746272,0
"MATS1p",1521801574172386,30354886.5802409,50133660.3630396,0
"MATS4p",1049749400383392,20437149.0069639,51364767.1710811,0
