"","Estimate","Std. Error","z value","Pr(>|z|)"
"AATSC3d",-376775935868622,16168770.7403246,-23302695.1720547,0
"AATSC4d",-890914582309051,13401245.1895084,-66479985.2335013,0
"AATSC5d",345655307339374,12202634.6630885,28326285.0099857,0
"AATSC6d",-257800879487923,11607591.0247628,-22209679.7636951,0
"AATSC7d",355036485569599,10193535.2408677,34829573.5660179,0
"AATSC8d",-734093204102476,7578770.39136404,-96861781.8187196,0
"AATSC1s",-1308595425882695,30400341.6868182,-43045418.3496928,0
"AATSC2s",-584141709920741,25067394.3820385,-23302849.152096,0
"AATSC3s",473983890248214,18626841.0289654,25446284.1826562,0
"AATSC4s",-833727048816865,16027787.6772911,-52017600.0333551,0
"AATSC5s",284051981150650,15174113.1192986,18719511.2437503,0
"AATSC6s",-474893942213707,14479049.5843724,-32798695.7601328,0
"AATSC7s",-124508201095386,12656896.233229,-9837182.73430311,0
"AATSC8s",-826548965194834,11813614.1541417,-69965800.0007606,0
"AATSC1Z",1097772857514301,27930404.928078,39303864.7431397,0
"AATSC2Z",-444004151446266,16807095.3601824,-26417661.2276594,0
"AATSC3Z",-138648275965895,15620028.6792504,-8876313.79000442,0
"AATSC4Z",385018396498974,18697363.7768551,20592122.0282175,0
"AATSC5Z",-621920590435217,14648476.6164744,-42456332.2670546,0
"AATSC6Z",106500591065163,18120248.2362078,5877435.5448594,0
"AATSC7Z",187249431966037,17506171.7653933,10696195.289035,0
"AATSC8Z",-935517027238817,11528124.7154687,-81150841.9911108,0
"AATSC0v",453030087557185,38682333.2573463,11711550.1938123,0
"AATSC1v",-93139525080481.9,46542875.6775709,-2001155.35889344,0
"AATSC2v",392394974888390,42306312.8946723,9275092.72352128,0
"AATSC3v",-1207320501593916,28132229.3408786,-42915919.9210556,0
"AATSC4v",167399638383856,20448998.6299854,8186202.23967298,0
"AATSC5v",218880088009062,17790663.3490196,12303087.5080397,0
"AATSC6v",-285662103087634,18432666.1110008,-15497600.9095693,0
"AATSC7v",81463544780195.2,16501115.7504752,4936850.69616274,0
"AATSC8v",361562201710079,13642891.3679964,26501875.0027018,0
"AATSC1se",1386972432760372,25515377.5932219,54358295.4119722,0
"AATSC2se",-458607659540994,27087077.7845883,-16930865.0858576,0
"AATSC3se",377200353167445,15753201.1130126,23944362.1941617,0
"AATSC4se",1903598588004566,16705990.0411463,113947068.28605,0
"AATSC5se",608443401262861,16385816.2252555,37132321.8140982,0
"AATSC6se",543886323558734,14111564.1934268,38541887.7810923,0
"AATSC7se",19315470353475.8,11375383.194657,1698006.12629456,0
"AATSC8se",1389714944991148,11794655.2679635,117825821.392667,0
"AATSC0p",3835974016793284,123946465.247788,30948635.8414867,0
"AATSC1p",655584462571421,32767613.7826579,20007085.8659347,0
"AATSC2p",-488991430012713,24522084.7368988,-19940858.8323211,0
"AATSC3p",1892159856055994,22450187.0751775,84282587.477772,0
"AATSC4p",251549989738290,27990531.7080871,8986967.17739063,0
"AATSC5p",856820518018209,16495804.0149614,51941725.1345304,0
"AATSC6p",45310001025258.8,18863005.316243,2402056.31423123,0
"AATSC7p",-22411454467885.3,16370847.553771,-1368985.5943178,0
"AATSC8p",718241503737191,15689704.4985435,45777885.9891125,0
"AATSC0i",-3655525108095094,42904147.3191371,-85202138.6395104,0
"AATSC1i",-1236586262378483,24729014.4324285,-50005481.0416093,0
"AATSC3i",-1016571270683694,13617636.4663536,-74651080.1044979,0
"AATSC4i",-1200061008999841,13125086.2812475,-91432618.6727195,0
"AATSC5i",-577283052932490,10617337.5331983,-54371734.0743329,0
"AATSC6i",505108396660764,8616965.49492207,58617897.0959582,0
"AATSC7i",-889131310310065,8440742.62377278,-105338043.101313,0
"AATSC8i",-372427023385758,6295467.60007818,-59157960.4636728,0
"MATS1c",483057380121605,19940980.994338,24224353.8699908,0
"MATS2c",-897123214194502,15151055.9929508,-59211926.5226065,0
"MATS4c",369037609786828,10016124.2278975,36844352.3053521,0
"MATS5c",-135445754507587,9158827.30285338,-14788547.7069089,0
"MATS8c",522796974654220,6017982.12377309,86872470.5228009,0
"MATS1s",289643803111342,9500110.51008025,30488466.718783,0
"MATS2s",-306496967836980,10688754.2480423,-28674713.6966983,0
"MATS3s",-58399953663561.5,7032048.55648017,-8304827.98781941,0
"MATS4s",-100590525271998,7755850.07011106,-12969632.517736,0
"MATS5s",-260678828352176,8134719.65271398,-32045213.5391299,0
"MATS6s",118947622229677,6430222.48391735,18498212.5466386,0
"MATS7s",-291069739811249,6626685.43186539,-43923880.6193512,0
"MATS8s",112736895141036,7980033.52339335,14127371.120754,0
"MATS1Z",-752679981547145,12824585.6681219,-58690393.6723731,0
"MATS2Z",1318746261967724,12756139.1448721,103381301.112402,0
"MATS3Z",-390306902834504,9821861.11453946,-39738589.0803044,0
"MATS4Z",-152706829595033,12285442.7833405,-12429900.353458,0
"MATS5Z",-243548581832575,10902411.9765755,-22338963.373963,0
"MATS6Z",-108100829211592,12254290.0155377,-8821468.16131544,0
"MATS7Z",-641542599769040,11446336.8148934,-56047852.7011627,0
"MATS8Z",-436030075275098,10518607.4789479,-41453212.9036829,0
"MATS1se",153666132121399,12107776.6618997,12691523.5069498,0
"MATS2se",-219364637346159,15335898.8081297,-14303996.1394289,0
"MATS3se",-301033584861043,9714762.93354183,-30987229.119269,0
"MATS4se",-38410030197693.9,10509867.7684778,-3654663.50708019,0
"MATS5se",367828575964637,11232927.2555743,32745567.3481819,0
"MATS8se",-523032488604780,10626778.7546802,-49218347.4107269,0
"MATS1p",1028446461399006,31537481.2631326,32610291.6342043,0
"MATS4p",1171013715820096,19589100.4552486,59778840.7127364,0
"MATS6p",1052824203376106,15146501.0479031,69509400.2269165,0
"MATS7p",1139110530130436,14098869.4286998,80794459.1508627,0
"MATS8p",340442138026512,14491895.7342354,23491898.1111807,0
"MATS3i",994411911831546,15672401.2695579,63449875.659009,0
"MATS4i",-297542209377200,11663886.5312941,-25509696.838948,0
"GATS1c",968105913526034,15952128.4068781,60688197.1379202,0
"GATS2c",-362435160888155,14185680.1966991,-25549367.8034904,0
"GATS3c",-4136163881335.46,6910351.47811854,-598546.093412545,0
"GATS4c",-257899385817215,6533003.22724694,-39476390.3898906,0
"GATS5c",-146937620783427,5779966.25219342,-25421882.1308283,0
"GATS6c",143733396011981,4916268.36923322,29236279.4739781,0
"GATS7c",-348011088456650,4509406.94328866,-77174469.4664549,0
"GATS8c",-161473436261394,4504742.24026923,-35845211.0351476,0
"GATS1dv",208445549155858,18368561.468328,11347951.7443579,0
"GATS2dv",-944175591752198,19244117.6804676,-49063075.1396058,0
"GATS3dv",286093550879112,11282233.0011367,25357883.5723644,0
"GATS4dv",240930643888574,10084579.7121192,23890995.04058,0
"GATS5dv",114894724655535,10903048.6346497,10537853.0817887,0
"GATS6dv",-635988332689218,9980635.64749226,-63722227.2359994,0
"GATS7dv",1259111179769990,10210639.1458643,123313649.790471,0
"GATS8dv",-724817509063281,8720022.3581096,-83121060.8524647,0
"GATS1d",-1457909358765362,21827644.3285448,-66791878.0799816,0
"GATS2d",-153787050525301,15244591.6485711,-10087974.4154849,0
"GATS3d",222327645010815,10479829.8240911,21214814.4333152,0
"GATS4d",-585082008345764,8475310.96646521,-69033692.1749295,0
"GATS5d",255281592776993,8836497.00039828,28889456.1686024,0
"GATS6d",-198969828352513,8387368.97561425,-23722555.7777422,0
"GATS7d",-419850633074885,8515358.49523558,-49305103.6324302,0
"GATS8d",-361550804722641,7036302.67704457,-51383634.4621976,0
"GATS1s",381451933942004,12977045.8805719,29394358.1191371,0
"GATS2s",-29736998331208.6,10028837.8947844,-2965148.96772573,0
"GATS3s",164464023366136,6328075.73806844,25989578.8504478,0
"GATS4s",169541688734027,6580178.13634001,25765516.5591503,0
"GATS5s",-287748229208812,6983909.49629535,-41201597.6669585,0
"GATS6s",176044755311068,5993919.96114019,29370554.9043701,0
"GATS7s",-534892780988789,6340336.02766626,-84363475.1620051,0
"GATS8s",78295613581948.3,5914688.8796204,13237486.3962368,0
"GATS1Z",-1016351991511172,18746512.587306,-54215523.3821668,0
"GATS2Z",633501386587497,16289905.0498271,38889200.6828623,0
"GATS3Z",-55868916805567.4,8941069.03935523,-6248572.35299866,0
"GATS4Z",642129339140238,11256319.5339838,57046118.6004534,0
"GATS5Z",-395010110501601,9291303.15018481,-42513962.1554318,0
"GATS6Z",262851829666660,10239776.7928824,25669683.5276103,0
"GATS7Z",-117231279572668,11313356.5664823,-10362201.4283528,0
"GATS8Z",-569868113824065,10228619.3648122,-55713101.9836836,0
"GATS2v",1990792315086674,34369854.426244,57922628.6616608,0
"GATS3v",-764062816320690,26459415.6034366,-28876783.5152585,0
"GATS7v",1110920432513982,14155477.1632412,78479900.020524,0
"GATS1se",-347637878545916,15314141.3538585,-22700448.5927855,0
"GATS2se",-57542752263077.9,16098897.4734449,-3574328.76120832,0
"GATS3se",12242545366650.5,9056821.31994938,1351748.58089383,0
"GATS4se",-187657728409282,9920934.45618526,-18915327.9096896,0
"GATS5se",521729607845941,10478534.7523808,49790320.8964785,0
"GATS6se",164011120924924,7791841.52356276,21049083.2531628,0
"GATS7se",-82572291702106.5,7702240.64524071,-10720554.6418663,0
"GATS8se",540947730138518,8343033.70193574,64838253.02216,0
"GATS1p",2110687403225455,42536983.2536873,49620053.9337141,0
"GATS2p",-704561125061914,21033929.8309685,-33496409.4072701,0
"GATS3p",-442252107718250,13597611.4865054,-32524249.4358037,0
"GATS4p",553002741473550,15487985.1027453,35705273.3331677,0
"GATS5p",321347250984736,9379269.37844874,34261437.4338275,0
"GATS6p",-340119965274838,12590398.7884003,-27014232.908031,0
"GATS7p",522125733906757,13081676.4938991,39912753.8546194,0
"GATS8p",418446450355382,12267599.0685529,34109889.6383105,0
"GATS1i",-584831468458168,17390389.3356354,-33629578.7961322,0
"GATS2i",-773982877650524,11596449.6839126,-66743089.3719348,0
"GATS3i",1329699161957933,15127234.5731769,87901007.6511743,0
"GATS4i",-315123770216526,10375211.3429963,-30372756.7370709,0
"GATS5i",51360283906154.9,6789690.10227298,7564451.85752454,0
"GATS6i",959044735920627,7153883.51809562,134059316.662725,0
"GATS7i",-678329504997479,6702775.68964399,-101201283.827164,0
"GATS8i",-76996897631221.8,6470762.77608022,-11899199.5682253,0
"BCUTc.1h",-110032094433572,5589026.76287544,-19687165.4228693,0
"BCUTc.1l",62149282007700,3755044.02376009,16550879.7272281,0
"BCUTdv.1h",95928459617464,6248317.63153132,15352686.1588107,0
"BCUTdv.1l",369778992329390,3142951.42677685,117653422.569309,0
"BCUTd.1h",31251093736508.4,4680918.03471898,6676274.50528187,0
"BCUTd.1l",46883964809795.2,1738825.91241851,26963000.9967961,0
"BCUTs.1h",104235376801243,8058663.59075993,12934573.5340981,0
"BCUTs.1l",29398488978200.4,10466573.7735375,2808797.76078474,0
"BCUTZ.1h",368540655788535,9157236.71069988,40245836.9737138,0
"BCUTZ.1l",-280195653611712,34162333.5694734,-8201888.58123227,0
"BCUTv.1l",-865702132148449,16500288.6798097,-52465877.958108,0
"BCUTse.1h",-757074341449988,13089132.5283282,-57839917.1840828,0
"BCUTse.1l",-160045344742257,15445978.4865671,-10361619.0376961,0
"BCUTare.1l",574650636078721,12150169.3056005,47295689.6011188,0
"BCUTi.1h",-848521844830980,7928597.50563931,-107020421.231808,0
"BCUTi.1l",34341375154341.6,9525741.67327762,3605113.00140322,0
"BalabanJ",-1021159233767572,8995902.65725146,-113513815.41956,0
"SpMAD_DzZ",-226672028241069,18796642.7518059,-12059176.2706822,0
"SM1_DzZ",-65500472959225112,968315913.107648,-67643701.8875506,0
"nBondsD",11032537297503738,362892615.573468,30401658.297922,0
"nBondsT",7830281193734999,318281179.909913,24601772.5457449,0
"RNCG",138267206260606,6245059.53775709,22140254.2961607,0
"RPCG",244663770690255,5525202.27746388,44281414.2186588,0
"C2SP1",652741816417446,75303368.2409436,8668162.28364324,0
"C1SP2",1197886215775447,17302914.011848,69230316.6365624,0
"C2SP2",8227405057228096,93630991.1497398,87870532.5683286,0
"C3SP2",3602418225749032,43035533.2563933,83707995.5367781,0
"C1SP3",4404956493482372,37736041.3778612,116730752.157449,0
"C2SP3",12287364549174902,91587991.8355004,134159121.768321,0
"C3SP3",5891964275493651,44718237.0603983,131757525.850935,0
"C4SP3",2951147139720301,23879127.6826248,123586890.565841,0
"HybRatio",2621689906119174,29512011.3335915,88834674.0072943,0
"Xch.3d",505436757322845,73951495.987118,6834706.32441147,0
"Xch.4d",-30058467017683.3,17039432.797788,-1764053.26247629,0
"Xch.5d",22577969600546.9,12346786.4489477,1828651.50328013,0
"Xch.6d",736713244097397,11021097.3219098,66845725.3011295,0
"Xch.6dv",-308948959673292,7260190.62293356,-42553835.8038948,0
