"","Estimate","Std. Error","z value","Pr(>|z|)"
"nHAvin",57703967334649.8,1842218.7961812,31323080.3280622,0
"nHmisc",-87617912561865.2,3489760.88632451,-25107139.2613797,0
"nsBH2",387611061749190,8727934.13952673,44410401.7689354,0
"nsCH3",-888526731378246,44649553.9713644,-19900013.6025568,0
"nssCH2",-1578659027594024,39791990.3393029,-39672783.7470037,0
"nsssCH",-1017457065809783,30366522.5527483,-33505880.1692688,0
"nddC",92169322327004.8,1790014.42394612,51490826.6067576,0
"naasC",-367227900758064,32700152.8196493,-11230158.549516,0
"naaaC",-154295645745134,13781364.619617,-11195962.8094813,0
"nssssC",403599561931144,18746875.8988948,21528897.0870575,0
"ntN",10669563984793938,406760490.747327,26230580.962254,0
"ndsN",84666635259597.4,5518888.34264915,15341248.0925382,0
"naaN",451827197528223,12915370.9297763,34983679.5230201,0
"nsssN",-51394323426179.8,11609133.2525286,-4427059.48051597,0
"naasN",45341011473909.2,4804083.28438103,9438015.28614652,0
"nssssNp",-47850537837689.3,7450923.02007405,-6422095.317422,0
"nssO",145331068635457,28345343.3390428,5127158.52114158,0
"naaO",65436319635047.8,4129976.8715731,15844233.9194319,0
"nsOm",78839568353678.2,4705492.39295414,16754796.6864701,0
"nddsP",-164270370331720,3586712.98693649,-45799697.6423888,0
"ndS",33681751113071,8222581.17625115,4096250.36118247,0
"nssS",63828554217736,12548396.6112474,5086590.43821782,0
"naaS",169243463293459,10566835.4065896,16016475.7736186,0
"ndssS",154416349430600,2393736.16607701,64508508.3389398,0
"nddssS",400278772900534,18895300.1416563,21184038.8826683,0
"ndsssAs",-1174591620994595,22111015.6245258,-53122463.5240963,0
"nssSe",-342618714093447,6921683.7697234,-49499330.7252953,0
"SwHBd",-114299962176475,5340345.10120623,-21403104.1085076,0
"SwHBa",-890298003226393,44164693.439465,-20158591.2612909,0
"SHsSH",-546620120852188,8563174.85137633,-63833815.1841349,0
"SssCH2",-297369675366392,22636833.5621458,-13136540.2563928,0
"SsssCH",-633819086720167,31028797.1523275,-20426801.70967,0
"SdssC",360987343407607,21342663.4851742,16913884.420207,0
"SaasC",-124130645347183,9514665.56672226,-13046243.6621349,0
"SssssC",-187781758477674,11732560.5621011,-16005181.2631808,0
"SsSH",296871620787303,5644580.37115013,52594099.3425544,0
"SdS",-111880145996907,7734191.67443297,-14465654.6807278,0
"SssS",-474270136768832,19242138.0207276,-24647476.0890889,0
"SaaS",-547772321304830,23193374.9534398,-23617620.2214844,0
"SsBr",-417121193068015,10529516.6096215,-39614467.4568311,0
"SsI",-40671397382430.7,5220746.5398607,-7790341.29925715,0
"minHBd",-282333403962745,4279341.11345243,-65975905.2801863,0
"minHBa",180380717637465,4987521.10639965,36166406.8761559,0
"minwHBa",-374902457503494,5634373.62251484,-66538444.6649743,0
"minHBint2",-7738907417207.85,3655327.78316172,-2117158.26221034,0
"minHBint3",124976559340187,2554229.2068316,48929265.6296944,0
"minHBint4",-75810687268984.9,2484794.0789734,-30509847.0374278,0
"minHBint5",-35195111671114.1,2352730.65376955,-14959260.8974276,0
"minHBint6",-11613047636712.3,2243976.39367733,-5175209.36023815,0
"minHBint7",79035480106464.9,2360215.27021457,33486555.6984892,0
"minHBint8",-67228733243742.1,2402762.69094539,-27979764.0845215,0
"minHBint9",44830918159387.2,2330208.73908439,19239013.8305818,0
"minHBint10",-112232970855632,2272735.58075895,-49382326.6577073,0
"minHsOH",-79807637834885,4900102.19504392,-16286933.3451054,0
"minHsSH",261799063941346,5553830.79666898,47138465.957293,0
"minHsNH2",75027513496247.9,3657042.45490638,20515898.9597151,0
"minHssNH",68229649018044.2,4300574.04577512,15865242.2425031,0
"minHdsCH",43861286807569,3614522.23676021,12134739.7898105,0
"minHaaCH",273813364338039,6597375.28532221,41503378.6159198,0
"minHCsats",43668576052619.1,4814816.65439642,9069623.86880198,0
"minHCsatu",-7534127572330.89,2575121.86189042,-2925736.32488213,0
"minHother",-275678343960221,5626466.20426039,-48996711.9595379,0
"minsCH3",113118906735558,2585115.13484644,43757782.8587807,0
"minssCH2",-68965391287577.1,3841745.13419184,-17951579.0034533,0
"mindsCH",8329701353421.91,3867761.08492471,2153623.54874721,0
"minaaCH",-184960457627423,7083920.92594629,-26109898.6791295,0
"minsssCH",81484682303377.6,4649156.78477773,17526765.8363716,0
"mindssC",-3975122828448.07,4659425.78260292,-853135.775504815,0
"minaasC",189005380374223,5022479.709938,37631885.3016444,0
"minssNH",-151957659728456,4317592.36889059,-35194999.1442805,0
"minaaN",-120513998521964,3174963.30093871,-37957603.6316175,0
"minsssN",-54412139319639.2,3355851.86928767,-16214106.4144137,0
"minsOH",101199653212641,4992478.26338202,20270424.4012244,0
"mindO",104305428506308,3841718.69894951,27150719.9459528,0
"minssO",-132178893544491,3460556.48578585,-38195849.161085,0
"minsF",-87545176753932.3,4811331.89353052,-18195622.0629154,0
"minsCl",88185074254879.6,4815249.05823707,18313709.8804948,0
"minsBr",171603157073503,8424952.00458631,20368443.2837228,0
"maxHBd",260612807759959,5555119.26271291,46913989.6796177,0
"maxHBa",2711459387938.89,5429190.25287046,499422.429800709,0
"maxwHBa",191725764918683,5980897.1631828,32056355.3740579,0
"maxHBint2",47359948206529.7,5674916.12103322,8345488.67268667,0
"maxHBint3",-244398103330529,3805409.06536053,-64223871.6345134,0
"maxHBint4",117006987756491,3789795.35463245,30874223.225132,0
"maxHBint5",-139080327205089,3926445.3677623,-35421434.447298,0
"maxHBint6",-13174699480116.6,3524496.64749414,-3738037.17177135,0
"maxHBint7",-82161338640896.8,3729324.14126343,-22031160.4807465,0
"maxHBint8",141706333215809,3800422.15564492,37286997.9734558,0
"maxHBint9",-94875203967912.8,3388487.44083257,-27999278.6234443,0
"maxHBint10",100441595143444,3510198.14354589,28614223.7662917,0
"maxHCsats",60591034045250.1,6924549.849315,8750176.59830177,0
"maxHother",5681348404359,6750895.04247784,841569.653891957,0
"maxssCH2",74095053020041.2,4274677.37156269,17333484.2795292,0
"maxsssCH",108994078160419,2987192.72592278,36487126.2622498,0
