parent_smiles,ring_fragment
CCOc1cc(CNCCCN(C)C)ccc1OCc1ccc(Cl)cc1,Cc1ccc(Cl)cc1
Cc1nc2ccccc2c(C)c1CC(=O)Nc1ccc(NC(=O)C(C)C)cc1,Cc1nc2ccccc2c(C)c1C
Cc1nc2ccccc2c(C)c1CC(=O)Nc1ccc(NC(=O)C(C)C)cc1,Nc1ccc(N)cc1
C[C@H](Cc1ccc(Cl)cc1Cl)NC(=O)c1cnn(C)c1-n1cccc1,Cc1ccc(Cl)cc1Cl
C[C@H](Cc1ccc(Cl)cc1Cl)NC(=O)c1cnn(C)c1-n1cccc1,Cc1cnn(C)c1N
C[C@H](Cc1ccc(Cl)cc1Cl)NC(=O)c1cnn(C)c1-n1cccc1,Cn1cccc1
CC(=O)N[C@@H](C)c1ccc(C2=NN=C(Nc3cccc(Cl)c3C)SC2)cc1,Cc1ccc(C)cc1
CC(=O)N[C@@H](C)c1ccc(C2=NN=C(Nc3cccc(Cl)c3C)SC2)cc1,CC1=NN=C(N)SC1
CC(=O)N[C@@H](C)c1ccc(C2=NN=C(Nc3cccc(Cl)c3C)SC2)cc1,Cc1c(N)cccc1Cl
CC(C)CCOc1ccc(NC[C@H]2CCC[C@@H](C)N2)cc1,Nc1ccc(O)cc1
CC(C)CCOc1ccc(NC[C@H]2CCC[C@@H](C)N2)cc1,C[C@@H]1CCC[C@H](C)N1
C[C@H]1C[C@H](C)CN([C@H](C(=O)O)c2ccccc2)C1,C[C@H]1C[C@H](C)CN(C)C1
C[C@H]1C[C@H](C)CN([C@H](C(=O)O)c2ccccc2)C1,Cc1ccccc1
CN(C)[C@H]1CC[C@@H](NC(=O)CCCCOc2ccc(S(C)(=O)=O)cc2)C1,N[C@@H]1CC[C@H](N)C1
CN(C)[C@H]1CC[C@@H](NC(=O)CCCCOc2ccc(S(C)(=O)=O)cc2)C1,Oc1ccc(S)cc1
CN[C@H]1C=C(OC2CC2)C=C(C#N)N1,CC1=CC(O)=C[C@H](N)N1
CN[C@H]1C=C(OC2CC2)C=C(C#N)N1,OC1CC1
c1ccc(N[C@H]2CO[C@@]3(CC[N@](Cc4cccnc4)C3)C2)nc1,Nc1ccccn1
