"","Estimate","Std. Error","z value","Pr(>|z|)"
"AATSC5c",697460733183744,26432750.4746112,26386233.7691138,0
"AATSC6c",-535398678826050,14810233.0291807,-36150591.1332489,0
"AATSC7c",269908163155865,11468570.8179612,23534594.4529685,0
"AATSC8c",178408702201098,7826593.54378094,22795191.9571526,0
"AATSC0dv",5327581083363827,73831862.7981883,72158291.5756333,0
"AATSC1dv",1904059653382423,79060340.6014745,24083625.7331645,0
"AATSC2dv",1734430366846153,51065989.2659538,33964491.6661296,0
"AATSC3dv",1589862719634815,35984939.9027249,44181335.9681178,0
"AATSC4dv",-644048287027215,27509748.4066792,-23411638.5764853,0
"AATSC5dv",3082011963193176,34950538.9977481,88182101.0941134,0
"AATSC6dv",1622805126086492,27246241.2597082,59560697.2212457,0
"AATSC7dv",501748666867759,31898876.1005027,15729352.5103178,0
"AATSC8dv",1885918946998932,21570898.9120324,87428852.8581883,0
"AATSC0d",-8142426609614485,108159441.015682,-75281700.1747809,0
"AATSC1d",5501141635303254,65882888.8639128,83498792.025747,0
"AATSC2d",-2069445736752376,35916303.573969,-57618561.2333515,0
"AATSC3d",882799793093791,29767923.3382458,29656075.8727691,0
"AATSC4d",-34933792343959.5,23946323.180595,-1458837.42069715,0
"AATSC5d",424948607247291,24235947.0435035,17533814.8117137,0
"AATSC6d",-771949723001753,19433020.559764,-39723609.6482125,0
"AATSC7d",1041220155970158,18489167.3455765,56315145.8640061,0
"AATSC8d",-1340595420255794,13849719.3698784,-96795854.446801,0
"AATSC1s",-2452191332881748,56822940.1282164,-43154953.392918,0
"AATSC2s",49230003351337.5,49312059.4140333,998335.983861334,0
"AATSC3s",160440732877863,40486728.0759846,3962798.19344135,0
"AATSC4s",397455212677095,33405044.0040204,11898059.8447726,0
"AATSC5s",1207955170390412,30991330.3017235,38977196.4814055,0
"AATSC6s",521706656412163,26627485.8400071,19592786.9250169,0
"AATSC7s",1934763265592854,23486554.5167869,82377483.858264,0
"AATSC8s",-543183359096924,22109272.7910289,-24568124.1636011,0
"AATSC1Z",-860242356422407,59533106.605671,-14449814.6572526,0
"AATSC2Z",2830616893327026,38626743.0978935,73281272.6704207,0
"AATSC3Z",749799531555968,32436099.5846239,23116205.1281716,0
"AATSC4Z",3799437796694838,58455614.0369245,64996970.0822038,0
"AATSC5Z",2328060468280564,45893832.7793783,50727087.4383507,0
"AATSC6Z",1866086986266798,48541913.5540701,38442798.1848756,0
"AATSC7Z",162142205281930,51291036.5547516,3161219.11688893,0
"AATSC8Z",1181694629251768,37976083.484258,31116811.4463833,0
"AATSC0v",-5776536217434610,91422591.6755743,-63184997.4012271,0
"AATSC1v",1202130551982108,98455954.0157376,12209830.9238866,0
"AATSC2v",-2425629997945870,84823835.9539536,-28596089.4206979,0
"AATSC3v",-6611941683888628,56530838.9975292,-116961676.160115,0
"AATSC4v",-1348390895121222,47841624.9528223,-28184471.0845608,0
"AATSC5v",-2253140655252426,38201731.9207636,-58980065.6139307,0
"AATSC6v",-817851223065829,38892881.4002683,-21028301.1600212,0
"AATSC7v",846480136475002,45566822.1555394,18576676.9862861,0
"AATSC8v",1568681993821856,29505529.5123043,53165695.3713604,0
"AATSC1se",3630428294154982,51566398.4634024,70402983.383289,0
"AATSC2se",-4101124506625302,52196558.808047,-78570783.2140276,0
