"","Estimate","Std. Error","z value","Pr(>|z|)"
"P1u",-577996112522527,15779343.9840503,-36629920.3000304,0
"E1u",-132676702134244,8130646.04162769,-16318100.8563107,0
"E2u",61984416041605.1,6792249.73912176,9125756.32850916,0
"E3u",675415383610584,6991184.55009747,96609577.2140886,0
"E1m",369628006757072,11697306.3736059,31599412.2878675,0
"E2m",368591037053649,9435093.12380228,39065967.0463442,0
"E3m",420277362207857,6858755.16681273,61276040.9121238,0
"E1v",-936379374866371,19765047.373367,-47375518.8731863,0
"E2v",110915519506836,12781691.9538938,8677686.79662526,0
"E3v",-437972421418779,12641332.7750846,-34646063.7664724,0
"E1p",949272509329716,20326119.9182875,46702101.195204,0
"E2p",-336542826137447,12192167.3546745,-27603199.3613028,0
"E3p",-232920444036836,12547553.2077134,-18563017.0425301,0
