"","Estimate","Std. Error","z value","Pr(>|z|)"
"GATS8i",205937622857521,12518362.5557971,16450843.4661172,0
"GATS1s",1402151231367516,22009311.1230226,63707183.9063974,0
"GATS2s",-1205415496052266,16617571.21139,-72538608.7243635,0
"GATS3s",105670483353946,9919389.36048747,10652922.2226996,0
"GATS4s",-77334542476339.3,10453886.7496524,-7397683.20896633,0
"GATS5s",-502975614996124,10585528.2863408,-47515400.4023728,0
"GATS6s",1035293475619579,10049324.5283446,103021200.350281,0
"GATS7s",-384404725869774,11025728.2822441,-34864338.7565448,0
"GATS8s",855937504491429,9650138.7824679,88696911.3901732,0
"SM1_DzZ",-44058768698790512,375508324.780389,-117331003.845408,0
"VE1_DzZ",-547017739158444,18517444.0574102,-29540671.8909212,0
"VE2_DzZ",-192784922757228,19321192.7634704,-9977899.66268112,0
"VE3_DzZ",155325448093868,9528161.73349029,16301722.4558561,0
"VR1_DzZ",-321365120224859,27456882.1149146,-11704355.901732,0
"VR2_DzZ",343741334277457,24753998.5872272,13886295.3015932,0
"VE1_Dzv",-614815992493067,14203649.8933314,-43285774.9318168,0
"VE2_Dzv",596714651205588,16593166.5927225,35961469.3115476,0
"VR1_Dzv",-60271065701895,18246765.756955,-3303109.52114468,0
"VR2_Dzv",416606090507256,18335143.9174414,22721724.595298,0
"VE2_Dze",671396438893853,13653228.0869272,49174922.9280587,0
"VE2_Dzp",154724597456822,8850564.94821135,17481889.3892294,0
"SpMAD_Dzs",546806802099862,19697126.0139923,27760740.4101201,0
"SM1_Dzs",-2206789463364297,55276308.7964367,-39922880.3698005,0
"VE1_Dzs",-1018902367346366,11599938.0583183,-87836880.0095197,0
"VE2_Dzs",933507250064873,13827947.6726996,67508734.6409249,0
"VE3_Dzs",-14279693497055.4,8767276.36544851,-1628749.10084175,0
"VR1_Dzs",813625466690642,19262183.53298,42239524.158701,0
"VR2_Dzs",-1030007540765996,19608020.4270192,-52529909.6152858,0
"nBase",-390767346677255,6806749.23143503,-57408806.0821468,0
"BCUTw.1l",20389980336411.7,4141033.92771624,4923886.3270209,0
"BCUTw.1h",-1258889596725068,15172561.3537174,-82971461.9289793,0
"BCUTc.1l",-476052526743142,56028556.4734794,-8496605.24394337,0
"BCUTp.1l",-131768650397626,7398955.61680993,-17809087.8256192,0
"BCUTp.1h",-1129934971332074,12996436.2800229,-86941908.3036573,0
"nBondsD",5452663705367954,160661181.069918,33938899.6710726,0
"nBondsT",-1144684952288362,597865650.925862,-1914619.02940182,0
"SpMax1_Bhm",-1363461787501895,77688545.509937,-17550358.0167748,0
"SpMax2_Bhm",-1457099852393379,51458167.3999907,-28316201.8007202,0
"SpMax3_Bhm",60102981291811.6,30531662.6211319,1968545.96612149,0
"SpMax4_Bhm",153513696109020,21391736.8843475,7176308.16697951,0
"SpMax5_Bhm",271106587210730,16821342.712705,16116822.0540425,0
"SpMin1_Bhm",1261782378507822,21983285.0205683,57397353.3676726,0
"SpMin2_Bhm",1954663122416383,15346322.2062786,127370134.429777,0
"SpMin3_Bhm",-40675776548849.6,15306941.0057049,-2657341.95576306,0
"SpMax1_Bhv",-112365572466292,33524685.8186693,-3351726.33903454,0
"SpMax2_Bhv",1161880320766516,21879536.3230563,53103516.6198721,0
"SpMax3_Bhv",241699224744137,22014071.8321794,10979305.7180285,0
"SpMin1_Bhv",106328303300693,18036490.121215,5895177.08745489,0
"SpMin8_Bhe",340698306288306,9180232.83013741,37112163.9932531,0
"SpMax1_Bhp",572108853925269,30107323.2595795,19002315.4497216,0
"SpMax1_Bhs",416230769382029,14589666.824621,28529148.361333,0
"SpMax2_Bhs",277673394922209,9619774.24947549,28864855.6318616,0
"SpMax3_Bhs",-256671427547724,9723243.0594147,-26397717.9197631,0
"SpMin1_Bhs",1608819630629061,34615955.8494294,46476244.5857922,0
"SpMin2_Bhs",-1254277037144258,21198977.5306788,-59166864.7852986,0
"SpMin3_Bhs",-213833576776337,14564324.496853,-14682011.295652,0
"SpMin4_Bhs",173484349560334,11540005.1934326,15033299.0889002,0
"SpMin5_Bhs",-270177528916853,12759298.380131,-21174951.8560972,0
"SpMin6_Bhs",-574757655897839,12660469.5575342,-45397815.0878141,0
"C2SP1",-1266495036931192,258636835.472108,-4896808.43264019,0
"C1SP2",-2466436467255932,36237607.1388173,-68062895.4833477,0
"C2SP2",-12254272967103402,182227870.935782,-67246974.3743087,0
"C3SP2",-6705204641661992,90027972.2789084,-74479125.453244,0
"C1SP3",-1477457822399548,59885872.3809722,-24671224.8424887,0
"C2SP3",-7613886990734284,179797585.320459,-42346992.4646864,0
"C3SP3",-5531448390806668,95620226.7617959,-57848099.4882633,0
"C4SP3",-3866027715241504,52301696.2143366,-73917826.6685311,0
"SCH.3",236918289583037,13332779.1759773,17769610.2557456,0
"SCH.4",235984365561093,12315088.1513285,19162214.8913027,0
"SCH.5",-166366882324722,18065485.981935,-9209100.85070974,0
"SCH.6",-433735633564546,18620572.5904327,-23293356.3915968,0
"VCH.6",289640067422481,14190648.2897803,20410629.6983678,0
"SC.3",4006590689987338,156161310.275347,25656743.5488523,0
"SC.4",-1795244869399391,46141206.1982874,-38907627.6351446,0
"SC.5",3144317408647526,35129901.9937057,89505442.0934877,0
"SC.6",-1218401101972716,19934305.6652959,-61120819.6779011,0
"VC.3",-2905016689952084,64787686.4420296,-44839024.9673666,0
"VC.4",1106798575149872,31021688.0702383,35678218.8204554,0
"VC.5",79025786646177.2,16488181.118525,4792874.73118484,0
"ASP.0",3742315035664242,222073868.779231,16851667.6736269,0
"ASP.1",4327221248600229,181162619.744423,23885839.4447204,0
"ASP.2",-1471722358166647,58626945.6121461,-25103173.0000572,0
"ASP.3",-1663871451310906,23587182.4677604,-70541339.7121564,0
"ASP.4",-347483099222128,13245080.4411706,-26234880.2459531,0
"ASP.5",1026597061794284,14335236.7308611,71613540.8900651,0
"ASP.6",-804351617412848,9186812.79728128,-87555024.2681429,0
"ASP.7",-165651713842357,7032772.13136034,-23554255.810975,0
"AVP.0",3933648181196358,77750283.9117422,50593360.9922456,0
"AVP.1",-2369152521043648,39224708.2897343,-60399493.6952455,0
"AVP.7",-151763045703258,10228942.3785618,-14836631.2064997,0
"CrippenLogP",-299846007811413,14981856.0545702,-20013942.6463082,0
"VE1_Dt",-22591838465679.8,9517678.03360986,-2373671.2237902,0
"VE2_Dt",219390986478787,10440051.2567729,21014359.1331947,0
"VE3_Dt",-29186891932052.6,6993847.8566846,-4173223.74322974,0
"VR1_Dt",403222681904676,14876294.7208212,27105047.961998,0
"VR2_Dt",-487598911096931,15679027.4978809,-31098798.1341848,0
"nHBd",-23694245435256932,2554610183.96837,-9275092.3737609,0
"nwHBd",-670342022957749,11082715.0576337,-60485361.1657212,0
"nHBint2",-207342269323492,12176823.6634534,-17027615.3333643,0
"nHBint3",21050363684736.8,19106987.6597601,1101710.22557729,0
"nHBint4",205818433836011,14803742.8133353,13903134.9322422,0
"nHBint5",838211800440746,13427140.1996586,62426681.1827925,0
"nHBint6",-42039142509265.6,12569219.6258985,-3344610.38636363,0
"nHBint7",-479855756845466,13438378.82139,-35707860.5405642,0
"nHBint8",-875210765208807,13106604.6130114,-66776315.5333117,0
"nHBint9",446468075802664,10300816.787072,43342978.040635,0
"nHBint10",451503720513444,10270561.3629385,43960958.3700752,0
"nHsOH",39235204229491256,2134589517.27051,18380678.7731541,0
"nHdNH",495440403006180,218507436.44732,2267384.63029668,0
"nHsSH",-1635438778421429,94250332.5953266,-17352074.3469771,0
"nHsNH2",5722438041337050,700793549.38576,8165654.5588251,0
"nHssNH",12001235069204390,1286318796.7148,9329907.25149554,0
"nHaaNH",4264065112817758,346297506.25732,12313300.0837993,0
"nHdCH2",-995347739366745,11447782.3850042,-86946773.2606952,0
"nHdsCH",-762384657064562,54636493.671558,-13953762.5098632,0
"nHaaCH",14280646557414350,161459348.958617,88447319.0900487,0
"nHCsatu",-616687419984067,9695997.87702853,-63602264.3368254,0
"nHAvin",-63784069023818.8,3208187.80551133,-19881650.6048195,0
"nsCH3",9655051989442884,162584757.099828,59384730.5348225,0
"nssCH2",16820084952938478,201451292.261688,83494549.7946421,0
"nsssCH",11475163639602582,142679665.088393,80426062.3438769,0
"ndssC",-1690361404870888,74172655.5254963,-22789549.5030488,0
"naasC",7019788739417824,110904947.410259,63295541.8431446,0
"naaaC",2274147369249095,35886601.9638575,63370373.476415,0
"nssssC",3294053598578667,64841311.8113144,50801772.9216249,0
"ntN",-2075598095913157,487220768.003938,-4260077.22211131,0
"ndsN",-772831502213662,14419763.320971,-53595297.3021212,0
"naaN",471238903663819,38518583.2512215,12234066.3619521,0
"nsssN",-1697869842858224,35777033.8615073,-47456976.1548895,0
"naasN",416331121386845,8208077.21315977,50722125.3619975,0
"nssssNp",159753076967787,20399359.2023123,7831279.17810667,0
"ndO",12607063964803604,1315096446.18477,9586417.78812348,0
"nssO",31046361944163096,1301641276.93699,23851703.6100923,0
"naaO",4256468534363810,148038969.388967,28752351.8431157,0
"nsOm",2195453186283832,191022969.406263,11493137.1505099,0
"ndS",-4180812640709562,25263653.2077182,-165487255.795306,0
"nssS",98126378660288.6,32905176.9883201,2982095.45249123,0
"naaS",1079778540753232,22926928.9402907,47096518.8388437,0
"ndssS",-242218149162505,11295477.695446,-21443816.339008,0
"nddssS",41380986511783.4,57147007.6305798,724114.668947953,0
"SHBd",-851806979271374,47367647.3411646,-17982885.5154289,0
"SwHBd",406246750437795,10893215.3478698,37293557.270695,0
"SwHBa",8873704953681734,76447496.9081305,116075807.744831,0
"SHBint3",230932070582138,15647709.6912256,14758202.646847,0
"SHBint4",389303182112642,13095879.050271,29727151.6190877,0
"SHBint5",-416213279327118,11766207.9185554,-35373612.4848471,0
"SHBint7",-2366108405343.72,10220956.3875257,-231495.793116921,0
"SHsOH",142268469957439,34408089.6005997,4134738.99913814,0
"SHsSH",-1004980615638306,16756490.2378158,-59975603.5646583,0
"SssCH2",3913549324842072,42115120.9290641,92925040.6625638,0
"SsssCH",4540152437492908,39334312.2865116,115424731.578434,0
"SdssC",-1346148891734193,21367701.3986043,-62999237.3359412,0
"SaasC",-376613684299220,18891840.254787,-19935256.6621343,0
"SssssC",2941483044097956,25399603.0277559,115808229.005926,0
"SssS",8301975387415418,61368173.8164492,135281447.550426,0
"SaaS",6623944365154457,43610106.9966776,151890119.54635,0
"SsBr",-31021138434973.2,8206624.89823321,-3780011.73681664,0
"SsI",503914885006136,20594550.1852762,24468360.8271475,0
"minHBd",-422975417697141,8055221.71589031,-52509469.3374794,0
"minHBa",-117969947314099,9290635.01055864,-12697727.0315784,0
"minwHBa",128979040284140,10283199.1814254,12542695.9070399,0
"minHBint2",174474623664741,7636410.81299432,22847726.2338807,0
"minHBint3",55450322262628.1,5018926.10410686,11048244.4077538,0
"minHBint4",-181243402426077,5015851.28890872,-36134125.9911056,0
"minHBint5",83509974156565.1,4385170.06419037,19043725.3137601,0
"minHBint6",54055249706248.5,4079322.50576489,13251036.0800985,0
"minHBint7",242359922009037,4238299.46843815,57183293.3972333,0
"minHBint8",-401571422627910,4951379.40496597,-81102939.1577537,0
"minHBint9",139785609860097,4646201.40774016,30085998.7746606,0
"minHBint10",24644528930569.5,3575850.0248685,6891935.83600471,0
"minHsOH",188389865452815,10037516.5126222,18768573.4031835,0
"minHdNH",200932305287239,6483767.42713617,30990054.4005154,0
"minHsNH2",323967555477270,8499452.82168467,38116283.7507293,0
"minHssNH",481080755214283,10323827.119129,46599071.2226176,0
"minHdsCH",444029612680132,6946788.80811252,63918686.0210275,0
