parent_smiles,ring_fragment,chembl_id,parent_mol,fragment_mol
CC(C)c1cccc(C(C)C)c1O,Cc1cccc(C)c1O,CHEMBL526,<rdkit.Chem.rdchem.Mol object at 0x7f28284e33a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c22e0>
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,C[C@H]1OC(O)[C@H](N)[C@@H](O)[C@@H]1O,CHEMBL493287,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3400>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2340>
CC(C)NNC(=O)c1ccncc1,Cc1ccncc1,CHEMBL92401,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3460>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c23a0>
CNC(C)Cc1ccccc1OC,Cc1ccccc1O,CHEMBL1985928,<rdkit.Chem.rdchem.Mol object at 0x7f28284e34c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2400>
Cc1cccc(C)c1OCC(C)N,Cc1cccc(C)c1O,CHEMBL558,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3520>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2460>
CC(N)C12CC3CC(CC(C3)C1)C2,CC12CC3CC(CC(C3)C1)C2,CHEMBL959,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3580>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c24c0>
CC12CC3CC(C)(C1)CC(N)(C3)C2,CC12CC3CC(C)(C1)CC(N)(C3)C2,CHEMBL807,<rdkit.Chem.rdchem.Mol object at 0x7f28284e35e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2520>
CC(=O)Oc1ccccc1C(=O)O,Cc1ccccc1O,CHEMBL25,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3640>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2580>
Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CHEMBL190,<rdkit.Chem.rdchem.Mol object at 0x7f28284e36a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c25e0>
CCCc1cc(C(N)=S)ccn1,Cc1ccnc(C)c1,CHEMBL1378024,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3700>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2640>
CN(C)C(=O)Oc1ccc[n+](C)c1,C[n+]1cccc(O)c1,CHEMBL1115,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3760>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c26a0>
CCNCC(O)c1cccc(O)c1,Cc1cccc(O)c1,CHEMBL86882,<rdkit.Chem.rdchem.Mol object at 0x7f28284e37c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2700>
CN(C)/N=N/c1[nH]cnc1C(N)=O,Cc1nc[nH]c1N,CHEMBL476,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3820>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2760>
Cc1ccccc1OCC(O)CO,Cc1ccccc1O,CHEMBL229128,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3880>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c27c0>
CC(C)(N)Cc1ccc(Cl)cc1,Cc1ccc(Cl)cc1,CHEMBL1201269,<rdkit.Chem.rdchem.Mol object at 0x7f28284e38e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2820>
