parent_smiles,ring_fragment
NC(=O)c1ccc2[nH]c(-c3ccc(Oc4ccc(Cl)cc4)cc3)nc2c1,Cc1ccc2[nH]c(C)nc2c1
NC(=O)c1ccc2[nH]c(-c3ccc(Oc4ccc(Cl)cc4)cc3)nc2c1,Cc1ccc(O)cc1
NC(=O)c1ccc2[nH]c(-c3ccc(Oc4ccc(Cl)cc4)cc3)nc2c1,Oc1ccc(Cl)cc1
CC(C)C[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)O)C(C)C,Cc1ccc(O)cc1
CC(C)C[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)O)C(C)C,Cc1c[nH]c2ccccc12
CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
c1ccc(Nc2nc(Nc3ccccc3)n3nccc3n2)cc1,Nc1ccccc1
c1ccc(Nc2nc(Nc3ccccc3)n3nccc3n2)cc1,Nc1nc(N)n2nccc2n1
CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C)NC(=N)OCC3(F)F)c2)nc1,Cc1ccc(O)cn1
CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C)NC(=N)OCC3(F)F)c2)nc1,Cc1cc(N)ccc1F
CCOc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C)NC(=N)OCC3(F)F)c2)nc1,CC1(C)NC(=N)OCC1(F)F
CS(=O)(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,C[C@H]1CN(S)C[C@@H]1C
CS(=O)(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Nc1ccc(Cl)cc1
CS(=O)(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Nc1ccc(N)c(F)c1
CS(=O)(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Cn1ccccc1=O
N=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F,Cn1cc(F)c(=N)[nH]c1=O
N=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F,C[C@H]1O[C@@H](N)[C@H](O)[C@@H]1O
C[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)Cc1ccccc1)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)O,Cc1ccccc1
C[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)Cc1ccccc1)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)O,C[C@@H]1CCCN1C
C[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)Cc1ccccc1)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)O,Cc1ccc(O)cc1
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O,C[C@@H]1CCCN1C
NS(=O)(=O)c1cc(Cl)cc(Cl)c1,Sc1cc(Cl)cc(Cl)c1
CC(C)C[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCNC(=N)NCCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CCC(N)=O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)O,Cc1ccccc1
C=CC(=O)N1CC[C@H](Nc2nc(CN3CCOCC3)cc(Nc3nc4cccnc4s3)n2)C1,CN1CC[C@H](N)C1
C=CC(=O)N1CC[C@H](Nc2nc(CN3CCOCC3)cc(Nc3nc4cccnc4s3)n2)C1,Cc1cc(N)nc(N)n1
C=CC(=O)N1CC[C@H](Nc2nc(CN3CCOCC3)cc(Nc3nc4cccnc4s3)n2)C1,CN1CCOCC1
C=CC(=O)N1CC[C@H](Nc2nc(CN3CCOCC3)cc(Nc3nc4cccnc4s3)n2)C1,Nc1nc2cccnc2s1
CC(C)C[C@H](NC[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(N)=O,Cc1ccccc1
CC(C)C[C@H](NC[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(N)=O,C[C@@H]1CCCN1C
COc1cc2c(NC3CC[N+](C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCC[N+]1CCCC1,C[N+]1CCC(N)CC1
COc1cc2c(NC3CC[N+](C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCC[N+]1CCCC1,Cc1nc(N)c2cc(O)c(O)cc2n1
COc1cc2c(NC3CC[N+](C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCC[N+]1CCCC1,CC1CCCCC1
COc1cc2c(NC3CC[N+](C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCC[N+]1CCCC1,C[N+]1CCCC1
O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,Cc1ccc(S)cc1
O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,Fc1cc(F)cc(S)c1
