"","Estimate","Std. Error","z value","Pr(>|z|)"
"ATSC2i",-302363862433571,12919431.8519458,-23403804.896268,0
"ATSC3i",-92830603115700.1,8252041.29820954,-11249410.8743544,0
"ATSC4i",52852734543090.3,7718003.23016721,6847980.36058159,0
"ATSC5i",-176296234665637,6870098.06512422,-25661385.4699684,0
"ATSC6i",24118249933328.9,5980498.59073708,4032815.92118164,0
"ATSC7i",121306807235882,5530851.65782914,21932753.7132852,0
"ATSC8i",35257641869285,5268780.00214432,6691803.76765316,0
"AATSC0c",384151840964127,27277511.4173361,14083097.0643452,0
"AATSC1c",352107429019818,34498374.8400025,10206493.2233136,0
"AATSC2c",833589095945775,22300732.3463087,37379449.3831389,0
"AATSC3c",1167358407022602,19033990.9253628,61330196.6781489,0
"AATSC4c",459036244226208,16244407.2893766,28258109.7635002,0
"AATSC5c",-402620569399459,11203544.134987,-35936893.2320385,0
"AATSC6c",-575266426132586,8636746.38441,-66606844.8149626,0
"AATSC7c",-105892715839017,7184401.1821734,-14739254.2751883,0
"AATSC8c",-2993958150423.43,5741933.0534812,-521419.898584199,0
"AATSC0dv",-62086349576619.8,37016537.019699,-1677259.80265468,0
"AATSC1dv",1261175927581147,34893836.6113465,36143229.0071264,0
"AATSC2dv",-99879630840187.3,16540902.5306287,-6038342.26428943,0
"AATSC3dv",388914725601512,15802096.6928674,24611590.0415327,0
"AATSC4dv",1060166688918508,14541353.6614037,72907014.9591679,0
"AATSC5dv",505749589033635,14437932.8160391,35029224.4379886,0
"AATSC6dv",-181141917697468,12551823.1547423,-14431522.454093,0
"AATSC7dv",931854769994748,16175203.5691462,57610079.8986073,0
"AATSC8dv",314360564514381,11799786.1639004,26641208.5903827,0
"AATSC0d",318918044016080,46090412.8790114,6919400.89261619,0
"AATSC1d",-93002678792636.1,27208233.229866,-3418181.47495695,0
"AATSC2d",-693126159327895,15740683.0869934,-44034058.4647579,0
"AATSC3d",27002550099102.2,12606668.1105147,2141925.9920534,0
"AATSC4d",-375970922809783,10130533.4389291,-37112648.122262,0
"AATSC5d",-272203641674919,10036082.3172554,-27122499.9028664,0
"AATSC6d",-226836953883754,9709022.13616934,-23363522.1655032,0
"AATSC7d",-507458948694042,9391640.29377409,-54033047.7765898,0
"AATSC8d",49587264835240.3,6674199.69839588,7429694.50661754,0
"AATSC1s",669508952923370,26810497.4052114,24971896.0004536,0
"AATSC2s",164886140309424,19282437.6183064,8551104.56329881,0
"AATSC3s",23878898875542.3,16972928.1108928,1406881.51858826,0
"AATSC4s",-575136353524235,15497190.9688003,-37112296.9757633,0
"AATSC5s",-37048464816885.4,12839566.7285296,-2885491.82384506,0
"AATSC6s",55079218035129,11783414.8523695,4674300.16894069,0
"AATSC7s",-84336503362563.7,12014624.9421357,-7019486.98097038,0
"AATSC8s",-183469308454601,10179194.3865626,-18023951.7477724,0
"AATSC1Z",1463651067769575,62602260.4521006,23380163.2273242,0
"AATSC3Z",846866355130848,19013833.1097367,44539486.0806462,0
"AATSC4Z",309210053519192,11538924.8678988,26797128.5937924,0
"AATSC5Z",-274081982839690,10870459.6832484,-25213467.5833495,0
"AATSC6Z",541656863924023,9369663.60836644,57809638.2713635,0
"AATSC7Z",-347597956256985,8464109.62512333,-41067279.566564,0
"AATSC8Z",-186558185833464,7340251.86802785,-25415774.443117,0
"AATSC0v",-106296086542489,34626577.5916554,-3069783.21092018,0
"AATSC1v",435136563719482,62359946.7490734,6977821.28439595,0
"AATSC2v",-2642410003979768,31650097.8531239,-83488209.6176192,0
"AATSC3v",-1014352345493832,20868152.4635607,-48607673.6915288,0
"AATSC4v",-1756264759481224,19062251.2922573,-92133123.8663602,0
"AATSC5v",-1028442101749897,17569558.2659065,-58535455.8256353,0
"AATSC6v",89934261260443.1,15744546.6421713,5712089.60819215,0
"AATSC7v",270231225525477,17585633.7276884,15366590.1217993,0
"AATSC8v",175075193609827,15269535.8141097,11465652.6394241,0
"AATSC0se",1318339451208405,46870080.2292475,28127527.0867948,0
"AATSC1se",68064941588681.5,32544501.9421585,2091442.10317471,0
"AATSC2se",-180862287605496,19117508.3844533,-9460557.51452298,0
"AATSC3se",-921461987056232,14330267.1726439,-64301800.9332916,0
"AATSC4se",-18971627507350.8,13623408.4374205,-1392575.69752074,0
"AATSC5se",582422919541971,11154861.4124443,52212474.7235517,0
"AATSC6se",-150837024913860,8455361.64650609,-17839216.253534,0
"AATSC8se",-1825882943392.87,10013035.608364,-182350.589252642,0
"AATSC2p",1649353862308940,46131869.4550083,35753024.5748555,0
"AATSC5p",129227304402616,12225095.8066722,10570657.80475,0
"AATSC6p",-942528504356145,15804377.4893582,-59637179.9516173,0
"AATSC7p",20172308152188.4,13334132.7143345,1512832.41170254,0
"AATSC8p",279726592585923,12192808.8931416,22941932.0057799,0
"AATSC0i",-1059028403430273,25858634.2689482,-40954537.3671179,0
"AATSC1i",-1331655689684978,33201983.7553282,-40107714.6323004,0
"AATSC2i",7072856750047.4,18288935.62147,386728.72475664,0
"AATSC3i",476208305039283,14293016.7388632,33317550.3632103,0
"AATSC4i",2955167218654.43,12306257.9287455,240135.322676086,0
"AATSC5i",572909247052382,11037662.7715171,51904942.0979578,0
"AATSC6i",174862377950287,8358037.9338022,20921462.5890958,0
"AATSC7i",140498903046130,7587654.45149342,18516776.6856432,0
"AATSC8i",-97524547217307.8,6633386.82044795,-14702074.4993614,0
"MATS1c",-564228216795308,16724791.9777782,-33736037.9456428,0
"MATS2c",-740326107806686,16372324.0405684,-45218144.1053976,0
"MATS3c",-346415059739126,12768486.8554818,-27130470.7957938,0
"MATS4c",-346832817624442,10454554.167616,-33175285.3410805,0
"MATS5c",427794356324470,8397977.46710777,50940164.8194468,0
"MATS6c",476977511802549,8536676.4323992,55873912.4739786,0
"MATS7c",65519793862436.2,6718255.52784112,9752501.01621109,0
"MATS8c",123594077409394,5807390.93199763,21282203.8083254,0
"MATS1dv",94826570385763.1,23244290.5175659,4079563.98213582,0
"MATS1s",-538945315702543,11640728.5445547,-46298246.1655849,0
"MATS2s",302623532026452,10823892.7655791,27958844.2513789,0
"MATS3s",171262605710041,8830125.1125155,19395263.773477,0
"MATS4s",-361591828252654,8998458.95664133,-40183750.3504731,0
"MATS5s",199311513241187,8456413.54467192,23569272.2675284,0
"MATS6s",-219246840973122,8347370.6051273,-26265377.607465,0
"MATS7s",-297249132668356,7634553.35804665,-38934711.5316264,0
"MATS8s",-419541486385167,8338063.33058004,-50316418.7835428,0
"MATS1Z",-757015026811255,11512825.9447623,-65754058.1646381,0
"MATS2Z",-486482917790742,11868884.8222217,-40988089.8734408,0
"MATS3Z",371147191025244,13181760.5567859,28156116.8879054,0
"MATS4Z",-757997931054652,12191540.6201475,-62174088.9582076,0
"MATS5Z",-106862230679305,12603025.5030153,-8479093.42512538,0
"MATS6Z",81483712772655.2,11133097.3963752,7319051.46174192,0
"MATS7Z",-673138848281684,12671940.1722938,-53120425.0595697,0
"MATS8Z",-375488969257259,11201853.7757178,-33520252.6988171,0
"MATS1v",-681612042757547,23079080.0446774,-29533761.3734194,0
"MATS1se",166874629639841,12366930.2905536,13493617.7142769,0
"MATS2se",-161523928650370,14650427.1111653,-11025202.7073853,0
"MATS3se",59557898503582.4,11880392.8378611,5013125.35001198,0
"MATS4se",640281055397967,11788531.157532,54313896.0097565,0
"MATS5se",-801343620270255,11880673.0591523,-67449345.3595153,0
"MATS6se",125703922022328,11081041.6500164,11344052.8420125,0
"MATS8se",347846793573121,10717802.1856804,32455048.8567389,0
"MATS1p",208390758933934,23353263.9761752,8923410.41263151,0
"MATS3p",242587931329792,17508372.5065568,13855538.6138229,0
"MATS4p",1008651965942333,14852904.9595249,67909406.8595319,0
"MATS5p",409451509425358,15693337.6315012,26090785.7232018,0
"MATS6p",378098984774631,14850915.6454002,25459641.2640549,0
"MATS1i",1480881646950527,26298138.3514337,56311272.9563153,0
"MATS2i",1243243645390706,21615523.8191985,57516239.5225638,0
"MATS3i",-64561070980222.4,16757722.2107174,-3852616.13532014,0
"MATS4i",53303436417912.7,12668916.0713401,4207418.8602841,0
"MATS5i",16578847551362.5,11562111.701787,1433894.42854113,0
"GATS1c",-14447573524811.4,14105471.7204431,-1024253.12752019,0
"GATS2c",-223137455393460,12438278.8149848,-17939576.5855192,0
"GATS3c",-38272236780466.2,7446542.08589292,-5139598.53298499,0
"GATS4c",-192967946491282,6126849.86942822,-31495458.6131047,0
"GATS5c",204788609522428,5513660.96271607,37142038.8208904,0
"GATS6c",-13094941973565.2,5166432.81832951,-2534619.617448,0
"GATS7c",-35046142142823.1,5035093.03495573,-6960376.28292427,0
"GATS8c",63310060297472,4366862.89155362,14497835.601829,0
"GATS1dv",1033301695455753,21248980.4156957,48628295.3459968,0
"GATS2dv",-366090037513202,13088216.0947389,-27970965.2456273,0
"GATS3dv",-159327139172080,9050021.67211926,-17605166.5890398,0
"GATS4dv",407834204426275,8899916.47139391,45824497.9868221,0
"GATS5dv",-120766842818704,9060595.291358,-13328797.8256674,0
"GATS6dv",232038296784324,9001624.89096656,25777379.0393313,0
"GATS7dv",161879962958888,8879090.18408298,18231593.5082043,0
"GATS8dv",118752965837192,9140931.43369146,12991341.9325622,0
